"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33","Los registros vigentes del crudo cuadran con la capa curada","","2026-06-02","passed","2026-06-02","","","",""
"","47","Reconciliar saldo calculado vs producto para el cliente 7 -- @1.2 Clientes a validar","","2026-06-02","passed","2026-06-02","","","",""
"","46","Reconciliar saldo calculado vs producto para el cliente 25 -- @1.5 Clientes a validar","","2026-06-02","passed","2026-06-02","","","",""
"","34","La capa curada y la capa de producto tienen la misma cantidad de filas","","2026-06-02","passed","2026-06-02","","","",""
"","29","Validar esquema de la tabla product.fund_balance_pesos","","2026-06-02","passed","2026-06-02","","","",""
"","28","Identificador de cliente solo numérico","","2026-06-02","passed","2026-06-02","","","",""
"","29","Clave compuesta cliente-fondo sin duplicados","","2026-06-02","passed","2026-06-02","","","",""
"","93","Reconciliar saldo calculado vs producto para el cliente 1 -- @1.1 Clientes a validar","","2026-06-02","passed","2026-06-02","","","",""
"","31","Validar esquema de la tabla product.account_balances","","2026-06-02","passed","2026-06-02","","","",""
"","27","Identificador de cuenta sin duplicados","","2026-06-02","passed","2026-06-02","","","",""
"","30","Fecha de apertura con formato válido","","2026-06-02","passed","2026-06-02","","","",""
"","27","Campos clave sin valores nulos","","2026-06-02","passed","2026-06-02","","","",""
"","45","Reconciliar saldo calculado vs producto para el cliente 20 -- @1.4 Clientes a validar","","2026-06-02","passed","2026-06-02","","","",""
"","50","Reconciliar saldo calculado vs producto para el cliente 13 -- @1.3 Clientes a validar","","2026-06-02","passed","2026-06-02","","","",""
